author_sort,authors,isbn,id,identifiers,pubdate,publisher,tags,title,uuid
"Foroux, Darius","Darius Foroux","9789083301815","108","amazon:B0BNP6W7KH,google:Ga2NzwEACAAJ,goodreads:68040872,isbn:9789083301815","2022-12-01T13:30:00+05:30","North Eagle Publishing","Self Help, Philosophy, Psychology, Inspirational","Focus on What Matters: A Collection of Stoic Letters on Living Well","45ddc003-346a-4d4d-a9cb-577a87596e0d"
"Pirie, Madsen","Madsen Pirie","","111","goodreads:13337661,asin:B005CHB726,amazon:B005CHB726,guid:58ab6e91058b629d0d1c55f35e6fc548,oasin:0826498949","2006-03-30T13:30:00+05:30","","Philosophy, Psychology, Self Help, Politics, Science","How to Win Every Argument: The Use and Abuse of Logic","d21458c0-152e-4c8d-9049-c228edb9edee"
"Hill, Chase","Chase Hill","","112","asin:B096Y7THL4,amazon:B096Y7THL4,goodreads:58389697","2021-06-21T12:30:00+05:30","","Self Help","Healthy Boundaries: How to Set Strong Boundaries, Say No Without Guilt, and Maintain Good Relationships With Your Parents, Family, and Friends","caaed1c3-2d7b-466f-971d-ff2de07fb3a8"
"Leary, Robert","Robert Leary","","113","amazon:B07Q62L4F7,mobi-asin:B07Q62L4F7,goodreads:44773686","2019-04-01T12:30:00+05:30","","Psychology, Self Help","Overthinking: How to Declutter and Unfu*k Your Mind, Build Mental Toughness, Discover Fast Success Habits, Thinking & Meditation, Mindfulness for Creativity, Slow Down the Brain and Be Yourself","8eeca62f-080b-4a72-b0c5-06086dd042ac"
"Datta, Durjoy","Durjoy Datta","9789357082181","114","isbn:9789357082181,amazon:B0CD818TD3,mobi-asin:B0CD818TD3,goodreads:195449044","2023-09-08T12:30:00+05:30","Penguin Metro Reads","Romance","World's Best Girlfriend","c2a35904-0277-424f-b558-5bfe80375624"
"Painter, Lynn","Lynn Painter","9781665921237","116","amazon:1665921234,isbn:9781665921237,google:SROsEAAAQBAJ,goodreads:60197314","2023-11-28T13:30:00+05:30","Simon & Schuster Books for Young Readers","Contemporary, Romance, Young Adult","Betting on You","54b13a0b-eb7b-4868-8a40-b70d5ecc25be"
"Bhagat, Chetan","Chetan Bhagat","","117","amazon:B013VO02LS,mobi-asin:B013VO02LS,goodreads:26167752","2014-09-30T12:30:00+05:30","Amazon Publishing","Romance, Contemporary, Young Adult","Half Girlfriend","d61bcd13-38fd-4513-8e8e-4e03a271710c"
"Murphy, Monica","Monica Murphy","","118","amazon:B08YQWMH7Q,goodreads:198966989","2021-07-29T12:30:00+05:30","EM Publishing","Romance, Contemporary, Young Adult","Things I Wanted to Say","f228ca6f-4eba-4455-b888-e6a80e3f9484"
"GREEN, JOHN","JOHN GREEN","","119","goodreads:136487172,amazon:B01MYPBJK7","2012-01-10T13:30:00+05:30","Qanita","Young Adult, Contemporary","The Fault in Our Stars by John Green","9b342a92-7c56-4390-935e-c1f115e25501"
"Hazelwood, Ali","Ali Hazelwood","9780593619919","120","goodreads:60683957,isbn:9780593619919,amazon:0593619919","2023-11-07T13:30:00+05:30","G.P. Putnam's Sons Books for Young Readers","Contemporary, Young Adult","Check & Mate","0a5b8307-c729-4e61-a444-2a0697a479e5"
"Bhagat, Chetan","Chetan Bhagat","9781542040464","121","amazon:1542040469,goodreads:41639186,isbn:9781542040464","2018-10-01T12:30:00+05:30","Westland","Mystery, Thriller, Romance, Crime, Suspense","The Girl in Room 105","bd61ceaa-0b32-4885-90c6-12f8090bed5f"
"Brown, Dan","Dan Brown","9781429902304","122","isbn:9781429902304,google:_FKPcZcTKNMC,mobi-asin:B003JH8LPW,goodreads:7856894,amazon:1429902302","1998-02-01T00:00:00+05:30","Thomas Dunne Books","Thriller, Mystery, Suspense, Crime, Science Fiction","Digital Fortress","d9fdec9e-7148-4ad4-b6e8-d195e2bc1c3e"
"Mafi, Tahereh","Tahereh Mafi","9780062085597","123","goodreads:18052853,isbn:9780062085597","2014-02-04T04:30:00+05:30","HarperCollins","Fantasy, Young Adult, Romance, Science Fiction, Paranormal","Ignite Me","7487671b-f187-4542-8915-521f3a8b4ae8"
"Kovach, Carla","Carla Kovach","9781786818829","124","amazon:B07WZMKTB6,mobi-asin:B07WZMKTB6,isbn:9781786818829,goodreads:52699073","2019-11-19T13:30:00+05:30","Bookouture","Thriller, Crime, Mystery, Suspense","Her Dark Heart","5be492bb-6c54-4359-a005-87ae4d1ac701"
"Mukherjee, Siddhartha","Siddhartha Mukherjee","9781982117351","125","goodreads:60321392,amazon:1982117354,isbn:9781982117351","2022-10-25T12:30:00+05:30","Scribner","Science, History, Health","The Song of the Cell: An Exploration of Medicine and the New Human","e21f6538-644b-4638-ab76-0f048dc8477e"
"Ramakrishnan, Venki","Venki Ramakrishnan","9780063113275","126","amazon:0063113279,isbn:9780063113275,goodreads:179311316","2024-03-19T12:30:00+05:30","William Morrow","Science, Health, History","Why We Die: The New Science of Aging and the Quest for Immortality","24d45278-9167-48cd-b8bc-969437defd8f"
"Manson, Mark","Mark Manson","9780062888464","127","isbn:9780062888464,goodreads:40604828,odid:4128468@sanjose.overdrive.com,amazon:0062888463","2019-03-05T13:30:00+05:30","Harper","Self Help, Psychology, Philosophy, Humour, Sociology","Everything Is F*cked: A Book About Hope","d9c44b4b-6210-46e6-a5d3-8b1689b9e7ef"
"Black, Holly","Holly Black","","128","amazon:B071XQ6H38,mobi-asin:B071XQ6H38,goodreads:34913691","2018-01-02T00:00:00+05:30","Hot Key Books","Fantasy, Young Adult, Romance, Paranormal","The Cruel Prince","e1d694e8-85ba-43e4-a23d-142ce6aca3a5"
"Means, Casey","Casey Means","9780593712641","129","isbn:9780593712641,amazon:0593712641,goodreads:196848596","2024-05-14T00:00:00+05:30","Avery","Health, Self Help, Science","Good Energy: The Surprising Connection Between Metabolism and Limitless Health","659154df-42a9-4b92-8df2-4c87f196ca37"
"Sharma, Robin S.","Robin S. Sharma","9780593798492","130","amazon:059379849X,goodreads:201102296,isbn:9780593798492","2024-04-09T12:30:00+05:30","Crown Currency","Self Help, Philosophy, Psychology, Inspirational","The Wealth Money Can't Buy: The 8 Hidden Habits to Live Your Richest Life","478045a9-70c5-46ec-a683-e022f2a3e986"
"Hawking, Stephen","Stephen Hawking","9781409092360","131","kobo:a-brief-history-of-time-1,goodreads:11193265,isbn:9781409092360,google:oZhagX6UWOMC","1988-09-01T12:30:00+05:30","Bantam","Classics, History, Philosophy, Science","A Brief History of Time","b3886c8d-2b47-4887-b983-f5e7574e802d"
"Doyle, Arthur Conan","Arthur Conan Doyle","9788027219391","132","isbn:9788027219391,goodreads:53518357,amazon:B076B24PZF","1929-01-01T13:30:00+05:30","Musaicum Books","Mystery, Classics","The Complete Sherlock Holmes","f5916349-fe00-4861-a15e-7ed6128a84d5"
"Harrison, A. S. A.","A. S. A. Harrison","","133","amazon:B00AEDDSZW,mobi-asin:B00AEDDSZW,goodreads:53124944","2013-06-25T12:30:00+05:30","Penguin","Thriller, Mystery, Suspense, Contemporary, Crime","The Silent Wife","776d4dcc-b676-4df2-b4d9-7c10c9350a8b"
"Kovach, Carla","Carla Kovach","","134","amazon:B08B1LJ5YS,mobi-asin:B08B1LJ5YS,goodreads:54137760","2020-09-17T12:30:00+05:30","Bookouture","Thriller, Mystery, Crime, Suspense, Contemporary","Their Silent Graves","5d579bfe-1e48-4674-8efe-9a410f34aec6"
"Larsson, Stieg","Stieg Larsson","9780307272119","135","isbn:9780307272119,goodreads:6620989","2005-08-01T12:30:00+05:30","Alfred A. Knopf","Mystery, Thriller, Crime, Suspense, Contemporary","The Girl With the Dragon Tattoo","a9d64603-512b-4917-bad8-7112d89f39ef"
"Mullen, O. J. & Mullen, Owen","O. J. Mullen & Owen Mullen","9781837515035","136","goodreads:123221901,isbn:9781837515035,amazon:B0BXWJXJ7Z,mobi-asin:B0BXWJXJ7Z","2023-07-26T12:30:00+05:30","Boldwood Books","Thriller, Mystery, Crime, Contemporary","Three Sisters","eb229581-0c5a-405d-b1d3-137dcef0169a"
"Jackson, Holly","Holly Jackson","9781405293181","137","amazon:1405293187,goodreads:40916679,isbn:9781405293181","2019-05-02T12:30:00+05:30","Electric Monkey","Young Adult, Thriller, Crime, Contemporary, Romance","A Good Girl's Guide to Murder","9870edf2-f513-4b5e-aebb-76fe14f7f595"
"McManus, Karen M.","Karen M. McManus","","138","goodreads:45932891,amazon:B07RTSJQWP,mobi-asin:B07RTSJQWP","2020-01-07T13:30:00+05:30","Delacorte Press","Mystery, Young Adult, Thriller, Contemporary, Crime","One of Us Is Next","be4c7fc6-247a-4c51-93e9-b5082ee5289f"
"Huang, Ana","Ana Huang","9789124245658","139","goodreads:198169382,isbn:9789124245658","2023-01-01T13:30:00+05:30","","Romance, Fantasy, Contemporary, Young Adult","Twisted Lies","f35fe818-097c-497e-aa7c-44a231e93338"
"Bhagat, Chetan","Chetan Bhagat","","140","goodreads:26173657,amazon:B013VO02QI,mobi-asin:B013VO02QI","2004-01-01T13:30:00+05:30","Amazon Publishing","Romance, Contemporary, Young Adult, Humour","Five Point Someone","93c41bcd-a4b9-43f7-b396-2076b8b421b8"
"McManus, Karen M.","Karen M. McManus","9780593565377","141","goodreads:58679358,isbn:9780593565377,amazon:0593565371,mobi-asin:e4b58df3-9c6d-4ee8-9953-2114836d2943","2017-05-30T12:30:00+05:30","Delacorte Press","Mystery, Young Adult, Thriller, Contemporary, Romance","One of Us Is Lying","9999086a-40de-4952-a5e3-4c9aa1075d33"
"Hoover, Colleen","Colleen Hoover","","142","mobi-asin:B07HJYTRMD,goodreads:41957126,amazon:B07HJYTRMD","2018-12-07T13:30:00+05:30","Hoover Ink, Inc.","Thriller, Romance, Mystery, Suspense, Contemporary","Verity","28a91b04-bf74-4a46-bceb-a64854b136cb"
"Carter, Laura","Laura Carter","9781785135729","143","amazon:B0CPSD3ZY6,mobi-asin:B0CPSD3ZY6,goodreads:203745980,isbn:9781785135729","2024-04-08T12:30:00+05:30","Boldwood Books","Romance, Contemporary","Fake It 'Til You Make It","4b2de0b2-99a8-46ae-95c5-1dc96bce3d9f"
"Tracy, Brian","Brian Tracy","9781605095332","144","isbn:9781605095332,goodreads:28783099","2001-01-01T13:30:00+05:30","Berrett-Koehler Publishers","Self Help, Business, Psychology","Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time","070e92cc-26e5-45f9-84d6-1b2bf09649d6"
"Bhagat, Chetan","Chetan Bhagat","9788129142146","145","amazon:8129142147,goodreads:31557698,mobi-asin:B01LYOSLGO,amazon_de:B01LYOSLGO,isbn:9788129142146","2016-10-01T12:30:00+05:30","Rupa Publications India","Romance, Contemporary, Young Adult","One Indian Girl","b303acdf-da1a-440f-acb3-abcbbb4edbf1"
"Erikson, Thomas","Thomas Erikson","9781250234001","146","goodreads:39101777,isbn:9781250234001","2014-06-04T12:30:00+05:30","Macmillan Audio","Psychology, Self Help, Business, Sociology","Surrounded by Idiots","1cc0af95-1df4-4dc2-9a25-a9f88378a227"
"Kiyosaki, Robert T.","Robert T. Kiyosaki","9781612680187","147","isbn:9781612680187,goodreads:34026571,amazon:B01MRS5YGS","1997-04-08T12:30:00+05:30","Plata Publishing","Business, Self Help","Rich Dad Poor Dad","f9973e5f-a10e-4f87-8ac3-52f4a4bd0fa0"
"Eyal, Nir","Nir Eyal","9780698190665","148","isbn:9780698190665,goodreads:51036040","2013-12-25T13:30:00+05:30","Penguin Group US","Business, Psychology, Self Help","Hooked: How to Build Habit-Forming Products","87d98774-7a7d-4104-bc4b-6b62302c3c8e"
"Lee, Harper","Harper Lee","9780061120084","149","goodreads:60184782,amazon:0061120081,isbn:9780061120084","1960-07-11T13:30:00+05:30","Harper Perennial Modern Classics","Classics, Historical, Young Adult","To Kill a Mockingbird","d6569764-8a3e-4751-a269-36628cb619a1"
"Carnegie, Dale","Dale Carnegie","","150","amazon:B07D17NY8N,mobi-asin:B07D17NY8N,goodreads:40107028","1936-10-01T13:30:00+05:30","Manjul Publishing House","Self Help, Business, Psychology, Classics","How to Win Friends and Influence People","3c6f44f4-f2cd-451f-88f6-4de939f87be2"
"Gamow, George","George Gamow","9780486135175","151","amazon:B008TVLKK6,goodreads:19065131,isbn:9780486135175","1947-01-01T13:30:00+05:30","Dover Publications","Science, Philosophy, Classics, History","One Two Three . . . Infinity: Facts and Speculations of Science","8fd72a07-b8c9-4d88-8b26-f070ddb388ae"
"Housel, Morgan","Morgan Housel","9780593332702","152","isbn:9780593332702,goodreads:125116554,amazon:0593332709","2023-11-07T13:30:00+05:30","Portfolio","Psychology, Business, Self Help, Philosophy, History","Same as Ever: A Guide to What Never Changes","43948da0-3473-43a4-adaa-53b3d59f9f61"
"Clear, James","James Clear","","153","amazon:B07D23CFGR,goodreads:40121378,asin:B07D23CFGR","2018-10-16T12:30:00+05:30","Avery","Self Help, Psychology, Business, Health, Science","Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones","60169251-4959-44a5-8690-87b09766b160"
"Greene, Robert","Robert Greene","9780140280197","154","goodreads:1303,isbn:9780140280197,amazon:0140280197","1998-01-01T13:30:00+05:30","Penguin Books","Psychology, Self Help, Business, Philosophy, History","The 48 Laws of Power","27b0266e-3f50-41cc-8e1d-dcbbe983b333"
"Kahneman, Daniel","Daniel Kahneman","9780141918921","155","goodreads:12955489,isbn:9780141918921","2011-10-25T12:30:00+05:30","Penguin","Psychology, Self Help, Business, Philosophy","Thinking, Fast and Slow","1ce0b059-53fa-4f34-97d1-f44b800c62c8"
"Keller, Jeff","Jeff Keller","9789351772088","156","mobi-asin:B01MPZZLPT,isbn:9789351772088,goodreads:41434218","1999-01-01T13:30:00+05:30","Harper Collins Publishers India","Self Help, Psychology, Business, Philosophy, Inspirational","Attitude Is Everything: Change Your Attitude ... Change Your Life!","415a8f2b-fede-49d1-8954-bcfbbffe9605"
"Warikoo, Ankur","Ankur Warikoo","9789391165482","157","isbn:9789391165482,goodreads:59795331,amazon:9391165486","2021-12-27T13:30:00+05:30","Juggernaut Publication","Self Help, Business, Psychology, Philosophy","Do Epic Shit","11117e96-8552-4ab7-9f09-697c52643d5a"
"Kishimi, Ichiro","Ichiro Kishimi & Fumitake Koga","9781760638269","158","mobi-asin:B074TWG8V7,goodreads:36752952,amazon:B074TWG8V7,isbn:9781760638269","2013-12-12T13:30:00+05:30","Allen & Unwin","Self Help, Psychology, Philosophy, Business","The Courage to Be Disliked: How to Free Yourself, Change Your Life and Achieve Real Happiness","adb4dfc5-4c46-45dd-80b3-5cd8943991b0"
"Foroux, Darius","Darius Foroux","","159","goodreads:36640169,amazon:B077NJWFR3,mobi-asin:B077NJWFR3","2017-01-01T13:30:00+05:30","North Eagle Publishing","Self Help, Psychology, Philosophy, Business, Spirituality","Think Straight: Change Your Thoughts, Change Your Life","cd09bdbc-9439-496b-82f5-306cb90cc71e"
"Berne, Eric","Eric Berne","9781618030061","160","amazon:B005C6E76U,goodreads:12053731,isbn:9781618030061","1964-01-01T13:30:00+05:30","Tantor eBooks","Psychology, Self Help, Philosophy, Sociology, Business","Games People Play","078fedc0-5910-46e5-813e-e7a96cc5cad2"
"Hammond, Justin","Justin Hammond","","161","amazon:B008J2MMWU,goodreads:20745368","2012-07-09T12:30:00+05:30","Inspire3 Publishing","Self Help, Reference, Psychology, Business","Speed Reading: How to Double (Or Triple) Your Reading Speed in Just 1 Hour!","052faaaf-ac8d-40c6-8f3a-a34b968e7b45"
"Duhigg, Charles","Charles Duhigg","9781409038696","162","amazon:1409038696,mobi-asin:B006WAIV6M,isbn:9781409038696,goodreads:17309188","2012-04-25T12:30:00+05:30","Cornerstone Digital","Self Help, Psychology, Business, Science, Sociology","The Power of Habit: Why We Do What We Do, and How to Change","805b051c-44ad-4525-a932-a4845952dec3"
"Hoover, Colleen","Colleen Hoover","9781538756614","163","amazon:B0C1YY5SQR,isbn:9781538756614,goodreads:127555313","2016-04-01T12:30:00+05:30","Grand Central Publishing","Romance, Contemporary, Thriller, Suspense, Adult","Too Late","8377af2d-c452-4aae-bcf6-4d0b676fb219"
"Hoover, Colleen","Colleen Hoover","9781398518186","164","mobi-asin:B09RX311XR,goodreads:60470534,isbn:9781398518186,amazon:B09RX311XR","2022-10-18T12:30:00+05:30","Simon & Schuster UK","Romance, Contemporary, Adult, Young Adult","It Starts With Us","7a7e24a7-cf77-49a2-993b-25950d174b4f"
"Hoover, Colleen","Colleen Hoover","9781471156274","165","google:KmbkCgAAQBAJ,amazon:1471156273,isbn:9781471156274,mobi-asin:B017RNBS3A,goodreads:36493150","2016-08-02T12:30:00+05:30","Simon & Schuster","Contemporary, Adult, Young Adult","It Ends With Us","6adc4142-b90c-41f3-ada1-5868341a28fd"
"Kovach, Carla","Carla Kovach","9781786813855","166","goodreads:38753464,isbn:9781786813855","2018-04-02T12:30:00+05:30","Bookouture","Mystery, Thriller, Crime, Suspense, Adult","The Next Girl","4fdbcd45-42b6-4dda-9996-db307c3ee829"
"Hoover, Colleen","Colleen Hoover","","167","goodreads:51007311,amazon:B084HNWBD6,mobi-asin:B084HNWBD6","2020-08-19T12:30:00+05:30","Hoover Ink, Inc.","Romance, Contemporary, Young Adult, Adult","Heart Bones","a6cd6711-f48f-402e-839e-bfb665e22b9a"
"McFadden, Freida","Freida McFadden","9781803144375","168","mobi-asin:B09TWSRMCB,goodreads:60715327,isbn:9781803144375","2022-04-26T12:30:00+05:30","Bookouture","Thriller, Mystery, Suspense, Crime, Adult","The Housemaid","d2c7ac60-4a93-4889-afe2-cfc8e1bc32c1"
"McFadden, Freida","Freida McFadden","","169","amazon:B0BBL2ZW73,mobi-asin:B0BBL2ZW73,goodreads:62080187","2022-09-19T12:30:00+05:30","Hollywood Upstairs Press","Thriller, Mystery, Suspense, Crime, Adult","Never Lie","b8397ff4-dcbe-4601-af92-16d9ba1f04f9"
"Beevis, Keri","Keri Beevis","","170","mobi-asin:B08N1D3D4P,goodreads:56636407,amazon:B08N1D3D4P","2020-11-16T13:30:00+05:30","Bloodhound Books","Thriller, Mystery, Suspense, Crime, Adult","Trust No One","c17b91c8-b72d-4ac6-b815-aa3515b5f135"
"Hawkins, Paula","Paula Hawkins","9780735211209","171","isbn:9780735211209,goodreads:33151805,amazon:0735211205","2017-05-02T12:30:00+05:30","Riverhead Books","Mystery, Thriller, Crime, Suspense, Adult","Into the Water","f9d5c464-dbdf-4de4-97bd-2669045beb3c"
"Hazelwood, Ali","Ali Hazelwood","9780593550403","172","goodreads:181344829,ff:h/ali-hazelwood/bride,google:2FTHEAAAQBAJ,amazon:B0C9GQV1TT,kobo:bride-6,isbn:9780593550403","2024-02-06T13:30:00+05:30","Berkley","Romance, Fantasy, Paranormal, Vampires, Adult","Bride","c54e303b-0b6c-42f8-a870-556b2e854bbf"
"Dean, Will","Will Dean","9781668021156","173","amazon:1668021153,isbn:9781668021156,goodreads:62919433","2023-08-08T12:30:00+05:30","Atria/Emily Bestler Books","Thriller, Mystery, Horror, Suspense, Adult","The Last One","b89f387c-64c3-44bb-9259-fe3e8f0ec54a"
"Jewell, Lisa","Lisa Jewell","9781501154669","174","isbn:9781501154669,goodreads:35960653","2017-07-27T12:30:00+05:30","Atria Books","Thriller, Mystery, Suspense, Crime, Adult","Then She Was Gone","2818c1d9-e02e-4e25-8d97-4ca97a999551"
"Wilkinson, Diana","Diana Wilkinson","9781837510214","175","goodreads:148521178,isbn:9781837510214,amazon:B0C492MFZL,mobi-asin:B0C492MFZL","2024-03-05T13:30:00+05:30","Boldwood Books","Thriller, Mystery, Suspense, Romance, Adult","The Girl in Seat 2A","394f05d9-9e9b-40c2-8a0e-7adfc84d7ab8"
"Brown, Dan","Dan Brown","9780385504201","176","mobi-asin:daceb6d8-7978-4584-a3ab-eccb2017505b,amazon:0385504209,google:yElaAAAAMAAJ,goodreads:44775660,isbn:9780385504201","2003-03-18T13:30:00+05:30","Doubleday","Mystery, Thriller, Historical, Suspense, Adventure","The Da Vinci Code","aa7136e1-4be1-447b-8e05-e113d7809a41"
"Doerr, Anthony","Anthony Doerr","9781476746586","177","goodreads:18143977,isbn:9781476746586,amazon:1476746583,mobi-asin:B00DPM7TIG","2014-05-06T12:30:00+05:30","Scribner","Historical, War, Adult","All the Light We Cannot See","b88a4835-599a-499e-a96b-ecb48c515041"
"Dettmer, Philipp","Philipp Dettmer","9780593241318","178","amazon:0593241312,goodreads:57423646,isbn:9780593241318","2021-09-28T12:30:00+05:30","Random House","Science, Health, Biography","Immune: A Journey Into the Mysterious System That Keeps You Alive","3dfa0a0c-122f-4eaa-aa36-3c13ee595ed2"
"Manson, Mark","Mark Manson","9780062457714","179","goodreads:28257707,isbn:9780062457714,amazon:0062457713","2016-01-01T00:00:00+05:30","Harper","Self Help, Psychology, Philosophy, Business, Humour","The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life","988da7ba-a132-4baf-8d2f-9bc465f57de9"
"Brown, Dan","Dan Brown","9780385538176","180","goodreads:17212231,isbn:9780385538176,amazon:0385537859","2013-05-14T12:30:00+05:30","Doubleday","Thriller, Mystery, Historical, Suspense, Adventure","Inferno","c16a9410-812c-4f74-a752-0d40ddb0a45d"
"Rowling, J. K.","J. K. Rowling","","181","mobi-asin:B01B3DIPMW,goodreads:28787784,amazon:B01B3DIPMW","2007-10-01T12:30:00+05:30","Pottermore Publishing","Fantasy, Young Adult, Childrens, Adventure, Classics","Harry Potter: The Complete Collection","080344b9-cd88-47e3-8f73-38a36565e3a0"
"Trenton, Nick","Nick Trenton","9798715048394","182","amazon:B08XPQL61B,goodreads:57280624,isbn:9798715048394","2021-03-01T00:00:00+05:30","NCTS Inc.","Self Help, Psychology, Health, Business","Stop Overthinking: 23 Techniques to Relieve Stress, Stop Negative Spirals, Declutter Your Mind, and Focus on the Present","cdbecc3e-476b-469d-b9e5-e4ac32baaf7c"
"Schroedinger, Erwin","Erwin Schroedinger","","183","","2014-06-30T05:17:48+05:30","","","What is Life?","98391cf5-06d6-4797-9fac-0999d8b2833a"
"Brooks, David","David Brooks","9780593230060","184","isbn:9780593230060,amazon:059323006X,goodreads:144407855","2023-10-24T00:00:00+05:30","Random House","","How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen","c5e00100-c566-4dc3-b90b-9ee7f2044c6c"
"Lahiri, Jhumpa","Jhumpa Lahiri","9780547447810","186","isbn:9780547447810,isbn13:9780006551805,isbn10:0006551807,goodreads:7727018,amazon:0547447817","2010-11-15T13:30:00+05:30","Houghton Mifflin Harcourt","Classics, Adult","Interpreter of Maladies / the Namesake","b31d6d42-58d4-49da-bf8f-51b429271389"
"Hosseini, Khaled","Khaled Hosseini","9781594489501","187","isbn:9781594489501,goodreads:11063502,amazon:B002R88G5E","2007-05-01T00:00:00+05:30","Riverhead","Historical, Classics, War, Adult","A Thousand Splendid Suns","e2b9c62d-f698-4c6b-af08-ddd4129cc544"
"Hoover, Colleen","Colleen Hoover","","188","amazon:B00HB62MC0,goodreads:17788401","2014-08-05T00:00:00+05:30","Atria Books","Romance, Contemporary, Adult, Young Adult","Ugly Love","5c04fc38-5520-4f19-bd32-e596160af250"
"Carter, Laura","Laura Carter","9781785135255","189","isbn:9781785135255,goodreads:157988466,amazon:B0C5VBZJ1X,mobi-asin:B0C5VBZJ1X","2023-08-23T12:30:00+05:30","Boldwood Books","Romance, Contemporary, Humour, Adult","The Law of Attraction","ecc4dc9a-b7b1-4536-8ee4-2467481b9a40"
"Huang, Ana","Ana Huang","9781735056654","190","asin:B08Y6DCS1Y,goodreads:57755454,isbn:9781735056654,google:qwlWzgEACAAJ,amazon:1735056650","2021-04-21T12:30:00+05:30","Ana Huang","Romance, Contemporary, Adult","Twisted Love","95107668-45dc-4c68-a2a7-8d9512a53e8a"
"Elston, Ashley","Ashley Elston","9780593492918","191","goodreads:164444179,isbn:9780593492918","2024-01-02T13:30:00+05:30","Pamela Dorman Books","Thriller, Mystery, Suspense, Adult, Contemporary","First Lie Wins","697ea1a1-3b8e-4b9b-98e9-5a7d3ba7d29d"
"Huang, Ana","Ana Huang","","192","amazon:B0994RZ2L1,mobi-asin:B0994RZ2L1,goodreads:56688531","2022-01-27T13:30:00+05:30","","Romance, Contemporary, Adult","Twisted Hate","07f8dee7-711f-4bb8-8f4a-0b50f6e9c9c3"
"Anders, Natasha","Natasha Anders","","193","goodreads:16056862,amazon:B009I3UOKQ","2012-09-26T12:30:00+05:30","Natasha Anders","Romance, Contemporary, Adult","The Unwanted Wife","cbe1fe60-d25c-49e8-bc42-06aa1bb9cddb"
"Huang, Ana","Ana Huang","","194","mobi-asin:B091SLLP6H,amazon:B091SLLP6H,goodreads:56653002","2021-07-29T12:30:00+05:30","","Romance, Contemporary, Adult","Twisted Games","72e5632e-a9fc-43b3-9c5a-3bd1abe83b80"
"Bailey, Tessa","Tessa Bailey","9780062872869","195","goodreads:44148563,isbn:9780062872869","2020-01-14T13:30:00+05:30","Avon","Romance, Contemporary, Adult","Love Her or Lose Her","56d524d1-d823-43f5-ad2c-bed616deddc2"
"Meurisse, Thibaut","Thibaut Meurisse","9798525995178","196","isbn:9798525995178,goodreads:58503121,amazon:B098MHBF23","2021-01-01T00:00:00+05:30","Independently published","Self Help, Psychology, Health, Science","Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things","63aec302-e3f7-4c57-a407-43004567216e"
"James, Lylah","Lylah James","","197","amazon:B08Z5Y3G7L,goodreads:57440859,mobi-asin:7323308e-d2c0-46f4-86c9-c5d4242e8cd7","2021-05-05T12:30:00+05:30","","Romance, Contemporary, Adult, Suspense","A Vow of Forever","a2afb19a-4067-4fa3-827f-f38acd639b79"
"Housel, Morgan","Morgan Housel","9780857197689","198","goodreads:41881472,amazon:0857197681,isbn:9780857197689","2020-09-08T00:00:00+05:30","Harriman House","Self Help","The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness","08789b9b-efde-46e6-b406-3806a5515a27"
"Feeney, Alice","Alice Feeney","9780008225353","199","amazon:0008225354,goodreads:32326398,isbn:9780008225353","2017-03-23T00:00:00+05:30","HQ","Mystery, Suspense, Adult, Crime, Thriller","Sometimes I Lie","6191b733-50d3-426b-9731-75402cac7e58"
"Bennett, Brit","Brit Bennett","9780525536291","200","isbn:9780525536291,goodreads:199302532,mobi-asin:81d54448-58c6-4016-a4b6-ea876ddcab21,amazon:0525536299","2020-06-02T12:30:00+05:30","Riverhead Books","Historical, Contemporary, Adult","The Vanishing Half","edb87b2a-594d-4bcc-b193-625fca0db6e5"
"Clark, Julie","Julie Clark","9781728215723","201","mobi-asin:b136c95a-57dc-4fa5-ba23-a67433dbf9c9,amazon:1728215722,isbn:9781728215723,goodreads:52652923","2020-06-02T12:30:00+05:30","Sourcebooks Landmark","Mystery & Detective, Noir, Psychological, Mystery, Family Life, Thriller, Suspense, Domestic, Thrillers, Adult, General, Crime, Contemporary, Fiction, Women","The Last Flight","ba72d752-96bb-46fd-995e-18a146a30764"
"Foley, Lucy","Lucy Foley","9780062978738","202","isbn:9780062978738,goodreads:51938853,amazon:006297873X","2020-02-20T00:00:00+05:30","HarperLuxe","Suspense, Adult, Crime, Mystery, Thriller","The Guest List","14b193fd-cda5-42ac-9ab5-27b22e7a6708"
"Jackson, Holly","Holly Jackson","9780755504404","203","mobi-asin:8ea4be72-e708-4cd1-92d0-03fda97c9673,goodreads:61313902,isbn:9780755504404,amazon:0755504402","2022-11-29T13:30:00+05:30","Electric Monkey","Mystery, Thriller, Young Adult, Contemporary, Crime","Five Survive","d130478b-07f4-4b37-b49b-126389688edf"
